"","id_footbal_team","Player","MP","Starts","Min","90s","goal 90","assit 90","G-p 90","PK","PKatt","CrdY","CrdR","Gls","Ast","G+A","G-PK","G+A-PK","Sh.x","Shot on Target","SoT%","Sh/90","SoT/90","G/Sh","G/SoT","Dist","FK","total completed","total tempted"," total %completed ","total distance","progressive distance","short completed","short attempted","short%","mediumm completed","medium attempted","%medium","long complted","long attempted","long %","xA","KP","1/3.x","PPA","CrsPA","Prog.x","SCA","SCA90","PassLive","PassDead","Drib","Sh.y","Fld","Def","GCA","GCA90","ATG in play","ATG not in play","ATG drib","ATG shot","ATG fouls","ATG finalized","Tkl","TklW","Def 3rd.x","Mid 3rd.x","Att 3rd.x","#contrs opponents","Att.x","Tkl%","Past","Press","Succ.x","%","Pressin def","Press mid","Press att","Blocks","Sh","ShSv","Pass","Int","Tkl+Int","Clr","Err","Touches","Def Pen","Def 3rd.y","Mid 3rd.y","Att 3rd.y","Att Pen","Live","Succ.y","Att.y","Succ%","#Pl","Megs","Carries","TotDist","PrgDist","Prog.y","1/3.y","CPA","Mis","Dis","Targ","Rec","Rec%","prog. ric.","2CrdY","Fls","sub_fouls","Off","Crs","OG","Recov","Won","Lost","Won%"
"19","1","Marten de Roon",35,33,3021,33.6,1,1,1,0,0,8,1,0.03,0.03,0.06,0.03,0.06,18,3,16.7,0.54,0.09,0.06,0.33,25.5,0,1869,2148,87,37115,11168,696,764,91.1,900,988,91.1,257,355,72.4,2.1,25,247,23,4,199,69,2.06,62,4,0,0,0,3,7,0.21,7,0,0,0,0,0,95,67,33,47,15,26,87,29.9,61,673,231,34.3,172,376,125,45,7,0,38,69,164,78,0,2452,86,541,1556,483,18,2378,14,21,66.7,14,1,1646,7618,3895,154,30,3,13,12,1704,1635,96,29,0,66,24,0,13,0,417,74,48,60.7
"20","1","Matteo Pessina",28,21,1645,18.3,2,2,2,0,0,2,0,0.11,0.11,0.22,0.11,0.22,22,10,45.5,1.2,0.55,0.09,0.2,14.7,0,797,952,83.7,13640,3349,358,411,87.1,360,406,88.7,65,95,68.4,2.4,23,78,30,0,94,54,2.95,49,0,1,3,0,1,9,0.49,8,0,0,1,0,0,17,12,4,9,4,4,23,17.4,19,275,100,36.4,43,127,105,28,3,0,25,14,31,13,0,1153,21,162,616,446,70,1141,17,38,44.7,18,1,874,4177,1912,102,28,7,36,29,1087,858,78.9,139,0,24,23,1,14,0,184,20,32,38.5
"21","1","Matteo Ruggeri",6,3,208,2.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.43,0,0,0,16,0,96,118,81.4,1536,550,49,51,96.1,40,55,72.7,5,9,55.6,0,1,4,0,0,9,4,1.73,4,0,0,0,0,0,1,0.43,1,0,0,0,0,0,4,2,3,1,0,2,2,100,0,18,6,33.3,8,8,2,5,0,0,5,4,8,4,0,138,4,37,61,49,2,127,1,2,50,1,1,90,410,265,11,2,0,3,0,109,101,92.7,3,0,3,0,0,8,0,8,4,2,66.7
"22","1","Mattia Caldara",6,1,111,1.2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1.62,0,0,0,10,0,50,54,92.6,1240,286,13,14,92.9,20,20,100,17,18,94.4,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,1,1,100,0,18,6,33.3,7,8,3,5,1,0,4,3,5,5,0,71,6,34,36,5,3,69,0,0,0,0,0,45,228,64,4,1,0,0,0,37,36,97.3,1,0,3,1,0,1,0,17,5,6,45.5
"23","1","Opponent Total",38,418,3420,38,46,36,41,5,8,87,4,1.21,0.95,2.16,1.08,2.03,321,109,34,8.45,2.87,0.13,0.38,17.7,15,14415,18300,78.8,281332,100992,5805,6646,87.3,6166,7161,86.1,2150,3773,57,25.6,222,859,208,45,1014,492,12.95,329,41,40,26,39,17,79,2.08,55,5,6,5,6,2,793,514,481,251,61,264,712,37.1,448,6254,1932,30.9,2667,2532,1055,651,160,4,491,522,1315,857,12,22951,3408,9476,10736,4073,585,21197,324,549,59,367,25,14040,71069,35726,1090,358,80,516,492,17492,14415,82.4,1043,3,507,552,42,281,1,3379,563,696,44.7
"24","1","Papu Gomez",10,9,666,7.4,4,2,4,0,0,0,0,0.54,0.27,0.81,0.54,0.81,29,12,41.4,3.92,1.62,0.14,0.33,19.4,1,356,432,82.4,7183,1977,119,135,88.1,171,194,88.1,57,87,65.5,1.4,16,37,32,3,55,36,4.86,20,4,7,1,4,0,5,0.68,4,0,1,0,0,0,5,4,2,2,1,0,5,0,5,86,22,25.6,11,50,25,6,1,0,5,3,8,1,0,516,4,51,282,240,21,484,22,30,73.3,22,0,416,2923,1618,86,36,3,8,10,471,406,86.2,40,0,10,19,0,6,0,64,2,3,40
"25","1","Pierluigi Gollini",25,25,2156,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504,668,75.4,15956,8869,55,56,98.2,222,226,98.2,223,381,58.5,0,1,7,1,0,1,3,0.13,2,1,0,0,0,0,1,0.04,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,4,2,50,4,0,0,1,0,0,1,1,1,1,0,714,608,711,4,0,0,558,1,1,100,1,0,415,2104,1060,1,0,0,1,0,374,373,99.7,0,0,1,4,0,0,0,105,0,0,NA
"26","1","Rafael Toloi",31,29,2537,28.2,2,0,2,0,0,9,0,0.07,0,0.07,0.07,0.07,27,8,29.6,0.96,0.28,0.07,0.25,12.8,0,1378,1647,83.7,26244,9111,576,615,93.7,611,702,87,176,286,61.5,0.9,14,139,19,3,142,37,1.31,32,0,1,0,2,2,1,0.04,1,0,0,0,0,0,57,33,23,29,5,17,43,39.5,26,336,131,39,126,163,47,44,6,0,38,38,95,79,1,1925,118,627,1018,413,54,1852,12,24,50,13,0,1294,6385,3513,149,47,4,15,15,1381,1314,95.1,35,0,38,14,1,20,0,296,57,21,73.1
"27","1","Remo Freuler",34,32,2712,30.1,2,3,2,0,0,5,0,0.07,0.1,0.17,0.07,0.17,21,6,28.6,0.7,0.2,0.1,0.33,16.1,0,1876,2124,88.3,34350,9890,777,845,92,866,951,91.1,206,272,75.7,2.8,29,220,46,4,226,78,2.59,61,2,5,2,4,4,11,0.37,8,0,1,0,0,2,74,56,23,38,13,22,71,31,49,639,188,29.4,150,326,163,52,4,0,48,50,124,39,0,2436,51,456,1491,661,54,2354,38,50,76,40,1,1788,9688,4893,233,76,9,35,40,1848,1714,92.7,68,0,40,31,1,18,0,383,27,29,48.2
"28","1","Robin Gosens",32,30,2523,28,10,6,10,0,0,9,1,0.36,0.21,0.57,0.36,0.57,50,20,40,1.78,0.71,0.2,0.5,11.5,0,1355,1659,81.7,21763,8674,736,837,87.9,516,612,84.3,82,146,56.2,3.9,28,97,43,13,187,65,2.32,54,2,1,4,2,2,11,0.39,9,1,0,1,0,0,56,28,22,24,10,11,41,26.8,30,368,98,26.6,88,170,110,53,8,1,45,43,99,40,1,1971,63,426,927,721,116,1761,16,30,53.3,17,0,1243,5764,3397,158,51,16,34,18,1544,1327,85.9,117,1,51,26,9,58,1,213,35,21,62.5
