"","Player Name","Yearly Salary","Age","Position","Nationality","team"
"492","Federico Mattiello",624000,25,"D","Italy","spezia-calcio"
"493","M'Bala Nzola",520000,23,"ST","France","spezia-calcio"
"494","Claudio Terzi",436800,36,"D","Italy","spezia-calcio"
"495","Ivan Provedel",421200,26,"GK","Italy","spezia-calcio"
"496","Rafael",416000,38,"GK","Brazil","spezia-calcio"
"497","Kevin Agudelo",416000,21,"M","Colombia","spezia-calcio"
"498","Riccardo Marchizza",416000,22,"D","Italy","spezia-calcio"
"499","Giulio Maggiore",374400,22,"M","Italy","spezia-calcio"
"500","Juan Ramos",369200,23,"D","Uruguay","spezia-calcio"
"501","Leo Sena",364000,24,"M","Brazil","spezia-calcio"
"502","Lucien Agoume",364000,18,"M","France","spezia-calcio"
"503","Nahuel Estevez",358800,24,"M","Argentina","spezia-calcio"
"504","Matteo Ricci",358800,26,"M","Italy","spezia-calcio"
"505","Salva Ferrer",343200,22,"D","Spain","spezia-calcio"
"506","Gennaro Acampora",270400,26,"M","Italy","spezia-calcio"
"507","Emmanuel Gyasi",223600,26,"ST","Ghana","spezia-calcio"
"508","Martin Erlic",202800,22,"D","Croatia","spezia-calcio"
"509","Simone Bastoni",135200,23,"D","Italy","spezia-calcio"
"510","Abdullhai Suleiman",33332,22,"ST","Nigeria","spezia-calcio"
"511","Andrea Belotti",3536000,26,"ST","Italy","torino"
"512","Salvatore Sirigu",3276000,33,"GK","Italy","torino"
"513","Armando Izzo",3016000,28,"D","Italy","torino"
"514","Simone Verdi",2756000,28,"ST","Italy","torino"
"515","Daniele Baselli",2496000,28,"M","Italy","torino"
"516","Nicolas Nkoulou",2496000,30,"D","Cameroon","torino"
"517","Ricardo Rodriguez",2444000,27,"D","Switzerland","torino"
"518","Karol Linetty",2392000,25,"M","Poland","torino"
"519","Tomas Rincon",2236000,32,"M","Venezuela","torino"
"520","Simone Zaza",2236000,29,"ST","Italy","torino"
"521","Antonio Sanabria",2028000,24,"ST","Paraguay","torino"
"522","Cristian Ansaldi",1820000,33,"D","Argentina","torino"
"523","Nicola Murru",1144000,25,"D","Italy","torino"
"524","Rolando Mandragora",1092000,23,"M","Italy","torino"
"525","Sasa Lukic",1092000,23,"M","Serbia","torino"
"526","Lyanco",1040000,23,"D","Brazil","torino"
"527","Bremer",988000,23,"D","Brazil","torino"
"528","Federico Bonazzoli",936000,23,"ST","Italy","torino"
"529","Mergim Vojvoda",936000,25,"D","Kosovo","torino"
"530","Vanja Milinkovic-Savic",520000,23,"GK","Serbia","torino"
"531","Samir Ujkani",416000,32,"GK","Kosovo","torino"
"532","Alessandro Buongiorno",390000,21,"D","Italy","torino"
"533","Amer Gojak",338000,23,"M","Bosnia & Herzegovina","torino"
"534","Wilfried Singo",332800,19,"D","Ivory Coast","torino"
"535","Erick Ferigra",171600,21,"D","Ecuador","torino"
"536","Jean Freddi Greco",109200,19,"M","Italy","torino"
"537","Ibrahim Karamoko",109200,19,"M","Guinea","torino"
"538","Krisztofer Horvath",104000,18,"M","Hungary","torino"
"539","Matteo Procopio",47320,24,"D","Italy","torino"
"540","Denis Portanova",35152,19,"D","Italy","torino"
"541","Fernando Llorente",3588000,35,"ST","Spain","udinese"
"542","Gerard Deulofeu",1768000,26,"ST","Spain","udinese"
"543","Rodrigo De Paul",1612000,26,"M","Argentina","udinese"
"544","Ignacio Pussetto",1456000,24,"D","Argentina","udinese"
"545","Roberto Pereyra",1404000,29,"M","Argentina","udinese"
"546","Ilija Nestorovski",1248000,30,"ST","North Macedonia","udinese"
"547","Bram Nuytinck",1196000,30,"D","Holland","udinese"
"548","Mato Jajalo",1144000,32,"M","Bosnia & Herzegovina","udinese"
"549","Juan Musso",1040000,26,"GK","Argentina","udinese"
"550","Kevin Bonifazi",1040000,24,"D","Italy","udinese"
"551","Stefano Okaka",988000,30,"ST","Italy","udinese"
"552","Sebastien De Maio",936000,33,"D","France","udinese"
"553","Fernando Forestieri",884000,30,"ST","Argentina","udinese"
"554","Jens Stryger Larsen",832000,29,"D","Denmark","udinese"
"555","Marvin Zeegelaar",728000,29,"D","Holland","udinese"
"556","Samir",728000,25,"D","Brazil","udinese"
"557","Rodrigo Becao",728000,24,"D","Brazil","udinese"
"558","Tolgay Arslan",676000,29,"M","Germany","udinese"
"559","Ewandro",624000,24,"ST","Brazil","udinese"
"560","Walace",468000,25,"M","Brazil","udinese"
"561","Jean-Victor Makengo",421200,22,"M","France","udinese"
"562","Jayden Braaf",421200,17,"ST","Holland","udinese"
"563","Nahuel Molina Lucero",410800,22,"D","Argentina","udinese"
"564","Simone Scuffet",395200,24,"GK","Italy","udinese"
"565","Thomas Ouwejan",239200,23,"D","Holland","udinese"
"566","Sebastian Prodl",239200,33,"D","Austria","udinese"
"567","Petar Micin",145600,21,"M","Serbia","udinese"
"568","Manuel Gasparini",98800,18,"GK","Italy","udinese"
"569","Jan Kubala",46020,20,"M","Czech Republic","udinese"
"570","Martin Palumbo",12116,18,"M","Norway","udinese"
"571","Nikola Kalinic",2028000,32,"ST","Croatia","hellas-verona"
"572","Stefano Sturaro",1924000,27,"M","Italy","hellas-verona"
"573","Marco Benassi",1820000,25,"M","Italy","hellas-verona"
"574","Andrea Favilli",1352000,23,"ST","Italy","hellas-verona"
"575","Mert Cetin",1352000,23,"D","Turkey","hellas-verona"
"576","Kevin Lasagna",1196000,27,"ST","Italy","hellas-verona"
"577","Darko Lazovic",1144000,29,"D","Serbia","hellas-verona"
"578","Ronaldo Vieira",1144000,21,"M","England","hellas-verona"
"579","Giangiacomo Magnani",1092000,24,"D","Italy","hellas-verona"
"580","Koray Gunter",1040000,25,"D","Germany","hellas-verona"
"581","Davide Faraoni",936000,28,"D","Italy","hellas-verona"
"582","Federico Ceccherini",936000,28,"D","Italy","hellas-verona"
"583","Daniel Bessa",884000,27,"M","Italy","hellas-verona"
"584","Adrien Tameze",832000,26,"M","France","hellas-verona"
"585","Miguel Veloso",780000,34,"M","Portugal","hellas-verona"
"586","Mattia Zaccagni",780000,25,"M","Italy","hellas-verona"
"587","Marco Silvestri",780000,29,"GK","Italy","hellas-verona"
"588","Luca Marrone",676000,30,"D","Italy","hellas-verona"
"589","Antonin Barak",676000,25,"M","Czech Republic","hellas-verona"
"590","Ebrima Colley",676000,20,"ST","The Gambia","hellas-verona"
"591","Kevin Ruegg",520000,21,"D","Switzerland","hellas-verona"
"592","Pawel Dawidowicz",405600,25,"D","Poland","hellas-verona"
"593","Federico Dimarco",379600,22,"D","Italy","hellas-verona"
"594","Alessandro Berardi",286000,29,"GK","Italy","hellas-verona"
"595","Eddie Salcedo",275600,18,"ST","Italy","hellas-verona"
"596","Ivan Ilic",265200,19,"M","Serbia","hellas-verona"
"597","Ivor Pandur",213200,20,"GK","Croatia","hellas-verona"
"598","Bruno Amione",182000,18,"D","Argentina","hellas-verona"
"599","Matteo Lovato",150800,20,"D","Italy","hellas-verona"
"600","Bachir Mohamed Mane",44304,22,"D","Senegal","hellas-verona"
