"","Player.Name","Yearly.Salary","Age","Position","Nationality","team.y","MP","Starts","Min","X90s","goal.90","assit.90","G.p.90","PK","PKatt","CrdY","CrdR","Gls","Ast","G.A","G.PK","G.A.PK","Sh.x","Shot.on.Target","SoT.","Sh.90","SoT.90","G.Sh","G.SoT","Dist","FK","total.completed","total.tempted","X.total..completed.","total.distance","progressive.distance","short.completed","short.attempted","short.","mediumm.completed","medium.attempted","X.medium","long.complted","long.attempted","long..","xA","KP","X1.3.x","PPA","CrsPA","Prog.x","SCA","SCA90","PassLive","PassDead","Drib","Sh.y","Fld","Def","GCA","GCA90","ATG.in.play","ATG.not.in.play","ATG.drib","ATG.shot","ATG.fouls","ATG.finalized","Tkl","TklW","Def.3rd.x","Mid.3rd.x","Att.3rd.x","X.contrs.opponents","Att.x","Tkl.","Past","Press","Succ.x","X.","Pressin.def","Press.mid","Press.att","Blocks","Sh","ShSv","Pass","Int","Tkl.Int","Clr","Err","Touches","Def.Pen","Def.3rd.y","Mid.3rd.y","Att.3rd.y","Att.Pen","Live","Succ.y","Att.y","Succ.","X.Pl","Megs","Carries","TotDist","PrgDist","Prog.y","X1.3.y","CPA","Mis","Dis","Targ","Rec","Rec.","prog..ric.","X2CrdY","Fls","sub_fouls","Off","Crs","OG","Recov","Won","Lost","Won."
"51","Andrea Ranocchia",3224000,32,"D","Italy","fc-internazionale-milano",8,8,703,7.8,0,1,0,0,0,2,0,0,0.13,0.13,0,0.13,9,2,22.2,1.15,0.26,0,0,6.4,0,462,483,95.7,10246,2698,104,109,95.4,272,279,97.5,80,89,89.9,0.1,2,18,0,0,18,5,0.64,3,0,0,1,0,1,1,0.13,0,0,0,1,0,0,13,7,8,4,1,5,7,71.4,2,67,19,28.4,35,31,1,8,3,0,5,12,25,22,0,547,68,267,306,16,12,537,0,0,0,0,0,384,2666,1683,34,1,0,1,3,415,412,99.3,0,0,13,7,1,0,0,63,31,10,75.6
"52","Andrea Rispoli",780000,31,"D","Italy","crotone",19,5,652,7.2,0,0,0,0,0,4,0,0,0,0,0,0,4,1,25,0.55,0.14,0,0,22.5,0,224,318,70.4,4155,1703,90,109,82.6,101,126,80.2,27,58,46.6,0.6,10,9,7,6,27,16,2.21,14,2,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,1,2,1,5,20,4,71,23,32.4,29,21,21,20,4,0,16,4,10,16,2,389,27,123,150,147,12,335,4,8,50,4,0,216,1358,700,28,8,2,8,7,266,229,86.1,26,0,8,4,1,21,0,53,6,6,50
"53","Andreas Cornelius",1508000,27,"ST","Denmark","parma-calcio-1913",29,21,1898,21.1,1,4,1,0,0,4,0,0.05,0.19,0.24,0.05,0.24,31,7,22.6,1.47,0.33,0.03,0.14,11.3,0,409,585,69.9,6420,1086,225,299,75.3,133,189,70.4,37,55,67.3,2.9,24,29,11,2,39,43,2.04,35,0,2,3,2,1,6,0.28,5,0,0,0,1,0,8,5,1,2,5,1,11,9.1,10,272,66,24.3,22,100,150,11,3,0,8,2,10,29,1,811,26,81,439,326,93,771,15,22,68.2,15,1,406,1718,556,36,9,8,64,29,1131,629,55.6,178,0,35,48,15,11,0,76,142,89,61.5
"54","Andreas Skov Olsen",1508000,20,"ST","Denmark","bologna-fc-1909",26,12,1179,13.1,2,3,2,0,0,1,0,0.15,0.23,0.38,0.15,0.38,30,10,33.3,2.29,0.76,0.07,0.2,18.5,2,419,555,75.5,6790,1848,217,250,86.8,149,190,78.4,37,80,46.3,2.1,24,9,13,5,35,40,3.05,29,6,4,0,1,0,2,0.15,2,0,0,0,0,0,21,10,11,7,3,8,19,42.1,11,206,42,20.4,73,78,55,23,0,0,23,4,25,20,0,719,20,130,279,359,64,683,15,35,42.9,18,0,496,2774,1604,93,24,22,17,16,655,521,79.5,63,0,12,12,2,39,0,83,8,10,44.4
"55","Andres Tello",676000,24,"M","Colombia","benevento",17,2,413,4.6,1,0,1,0,0,3,0,0.22,0,0.22,0.22,0.22,7,3,42.9,1.53,0.65,0.14,0.33,14.4,0,134,193,69.4,2407,948,63,75,84,49,69,71,17,37,45.9,0,1,13,1,0,16,5,1.09,4,1,0,0,0,0,0,0,0,0,0,0,0,0,11,8,8,3,0,4,20,20,16,93,32,34.4,44,32,17,11,1,0,10,7,18,9,0,254,18,76,106,79,14,237,3,6,50,4,0,136,635,394,16,2,4,9,4,183,152,83.1,14,0,6,4,0,6,0,38,14,10,58.3
"56","Andrey Galabinov",832000,31,"ST","Bulgaria","spezia-calcio",12,4,430,4.8,3,1,3,0,1,0,0,0.63,0.21,0.84,0.63,0.84,7,3,42.9,1.47,0.63,0.43,1,12,0,80,109,73.4,1268,149,41,55,74.5,25,36,69.4,9,12,75,0.2,3,3,5,0,7,6,1.26,6,0,0,0,0,0,2,0.42,2,0,0,0,0,0,1,1,1,0,0,1,1,100,0,58,16,27.6,2,30,26,2,0,0,2,0,1,4,0,157,5,12,87,65,16,137,3,3,100,3,0,85,385,206,8,3,2,16,12,207,110,53.1,34,0,5,4,3,1,0,17,9,24,27.3
"57","Andri Fannar Baldursson",234000,18,"M","Iceland","bologna-fc-1909",8,1,217,2.4,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0.83,0,0,0,8,0,55,70,78.6,983,265,21,25,84,32,37,86.5,2,8,25,0.1,1,8,2,0,5,4,1.66,4,0,0,0,0,0,1,0.41,1,0,0,0,0,0,5,3,3,1,1,1,3,33.3,2,74,12,16.2,27,34,13,5,1,0,4,1,6,8,0,111,10,38,58,24,3,111,1,2,50,1,0,68,324,125,8,3,0,5,4,70,66,94.3,5,0,9,3,1,0,0,19,5,5,50
"58","Angelo da Costa",572000,36,"GK","Brazil","bologna-fc-1909",6,6,540,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,287,86.8,6303,3350,59,59,100,113,114,99.1,71,108,65.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,1,0,0,0,0,0,0,0,0,0,1,301,270,301,1,0,0,240,0,0,0,0,0,177,1035,685,0,0,0,0,0,183,183,100,0,0,0,0,1,0,0,24,0,0,NA
"59","Ante Rebic",4992000,26,"M","Croatia","ac-milan",27,20,1776,19.7,11,4,11,0,0,4,1,0.56,0.2,0.76,0.56,0.76,44,23,52.3,2.23,1.17,0.25,0.48,14.1,0,307,483,63.6,4613,1302,170,233,73,87,141,61.7,26,49,53.1,5.3,34,18,32,9,46,71,3.6,54,1,5,5,4,2,13,0.66,8,0,0,1,3,1,27,18,4,8,15,8,35,22.9,27,327,86,26.3,34,135,158,24,2,0,22,11,38,15,0,734,19,55,219,493,126,714,25,47,53.2,26,2,470,2282,1417,86,16,23,48,44,814,522,64.1,167,0,33,15,11,50,0,90,22,44,33.3
"60","Antonin Barak",676000,25,"M","Czech Republic","hellas-verona",34,32,2765,30.7,7,3,7,0,0,5,1,0.23,0.1,0.33,0.23,0.33,43,15,34.9,1.4,0.49,0.16,0.47,15.3,1,1027,1314,78.2,17706,4289,505,607,83.2,400,486,82.3,104,156,66.7,2.8,24,114,29,4,136,55,1.79,47,0,4,1,2,1,7,0.23,6,0,1,0,0,0,39,28,14,17,8,12,47,25.5,35,535,149,27.9,128,270,137,47,9,0,38,18,57,39,1,1603,60,248,952,517,89,1565,31,48,64.6,33,0,1055,6046,3011,136,60,17,31,34,1447,1107,76.5,113,0,59,17,4,17,0,277,70,94,42.7
