"","Player.Name","Yearly.Salary","Age","Position","Nationality","team.y","MP","Starts","Min","X90s","goal.90","assit.90","G.p.90","PK","PKatt","CrdY","CrdR","Gls","Ast","G.A","G.PK","G.A.PK","Sh.x","Shot.on.Target","SoT.","Sh.90","SoT.90","G.Sh","G.SoT","Dist","FK","total.completed","total.tempted","X.total..completed.","total.distance","progressive.distance","short.completed","short.attempted","short.","mediumm.completed","medium.attempted","X.medium","long.complted","long.attempted","long..","xA","KP","X1.3.x","PPA","CrsPA","Prog.x","SCA","SCA90","PassLive","PassDead","Drib","Sh.y","Fld","Def","GCA","GCA90","ATG.in.play","ATG.not.in.play","ATG.drib","ATG.shot","ATG.fouls","ATG.finalized","Tkl","TklW","Def.3rd.x","Mid.3rd.x","Att.3rd.x","X.contrs.opponents","Att.x","Tkl.","Past","Press","Succ.x","X.","Pressin.def","Press.mid","Press.att","Blocks","Sh","ShSv","Pass","Int","Tkl.Int","Clr","Err","Touches","Def.Pen","Def.3rd.y","Mid.3rd.y","Att.3rd.y","Att.Pen","Live","Succ.y","Att.y","Succ.","X.Pl","Megs","Carries","TotDist","PrgDist","Prog.y","X1.3.y","CPA","Mis","Dis","Targ","Rec","Rec.","prog..ric.","X2CrdY","Fls","sub_fouls","Off","Crs","OG","Recov","Won","Lost","Won."
"112","Daniele Padelli",936000,34,"GK","Italy","fc-internazionale-milano",1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,100,306,174,5,5,100,5,5,100,3,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,14,14,0,0,0,10,0,0,0,0,0,5,8,0,0,0,0,0,0,9,9,100,0,0,0,0,0,0,0,0,0,0,NA
"113","Daniele Rugani",5928000,25,"D","Italy","cagliari",16,12,1001,11.1,1,1,1,0,0,2,0,0.09,0.09,0.18,0.09,0.18,3,1,33.3,0.27,0.09,0.33,1,6,0,395,495,79.8,7366,2442,142,167,85,211,237,89,39,80,48.8,0.4,1,20,2,0,26,2,0.18,1,0,0,0,0,1,1,0.09,1,0,0,0,0,0,27,13,11,13,3,8,18,44.4,10,171,54,31.6,75,88,8,22,11,0,11,15,42,56,0,615,76,286,316,46,10,596,3,3,100,3,0,352,1577,757,21,7,0,2,6,360,353,98.1,4,0,15,4,0,4,0,116,42,19,68.9
"114","Daniele Verde",676000,24,"ST","Italy","spezia-calcio",21,12,980,10.9,6,1,6,0,0,1,0,0.55,0.09,0.64,0.55,0.64,34,16,47.1,3.12,1.47,0.18,0.38,18,0,307,399,76.9,5767,1058,140,168,83.3,125,151,82.8,40,72,55.6,1.5,10,9,11,2,25,24,2.2,20,1,3,0,0,0,2,0.18,2,0,0,0,0,0,4,3,2,1,1,3,11,27.3,8,82,25,30.5,13,28,41,11,0,0,11,8,12,8,0,504,9,54,211,274,59,471,10,16,62.5,10,1,371,2311,1069,80,13,16,11,12,498,377,75.7,58,0,2,12,2,30,0,53,0,0,NA
"115","Danilo",5564000,29,"D","Brazil","juventus",34,32,2916,32.4,1,4,1,0,0,6,0,0.03,0.12,0.15,0.03,0.15,18,2,11.1,0.56,0.06,0.06,0.5,21.3,0,2194,2484,88.3,44151,13673,736,800,92,1137,1238,91.8,305,406,75.1,3.5,27,228,33,9,175,60,1.85,57,1,1,1,0,0,5,0.15,5,0,0,0,0,0,60,37,39,13,8,24,59,40.7,35,249,80,32.1,134,85,30,54,13,0,41,44,104,82,0,2747,162,909,1577,416,24,2560,20,22,90.9,20,1,1879,8717,4927,199,43,5,13,12,2077,2025,97.5,29,0,25,20,2,28,0,268,34,18,65.4
"116","Danilo",1196000,36,"D","Brazil","juventus",34,32,2916,32.4,1,4,1,0,0,6,0,0.03,0.12,0.15,0.03,0.15,18,2,11.1,0.56,0.06,0.06,0.5,21.3,0,2194,2484,88.3,44151,13673,736,800,92,1137,1238,91.8,305,406,75.1,3.5,27,228,33,9,175,60,1.85,57,1,1,1,0,0,5,0.15,5,0,0,0,0,0,60,37,39,13,8,24,59,40.7,35,249,80,32.1,134,85,30,54,13,0,41,44,104,82,0,2747,162,909,1577,416,24,2560,20,22,90.9,20,1,1879,8717,4927,199,43,5,13,12,2077,2025,97.5,29,0,25,20,2,28,0,268,34,18,65.4
"117","Danilo Cataldi",1872000,24,"M","Italy","lazio",19,4,568,6.3,0,0,0,0,0,4,0,0,0,0,0,0,6,2,33.3,0.95,0.32,0,0,19,0,356,432,82.4,6477,2137,146,156,93.6,160,180,88.9,42,84,50,0.2,4,35,8,2,40,13,2.06,9,2,1,0,0,1,1,0.16,1,0,0,0,0,0,9,7,2,5,2,2,21,9.5,19,125,34,27.2,34,66,25,6,1,0,5,9,18,4,0,470,18,119,255,123,7,427,8,10,80,8,0,295,1637,809,33,9,1,5,1,342,323,94.4,16,0,9,5,0,12,0,67,2,5,28.6
"118","Danilo D'Ambrosio",3484000,31,"D","Italy","fc-internazionale-milano",19,7,699,7.8,3,0,3,0,0,2,0,0.39,0,0.39,0.39,0.39,8,6,75,1.03,0.77,0.38,0.5,10.6,0,438,486,90.1,8305,2517,172,185,93,211,225,93.8,50,61,82,0.1,1,30,4,2,27,6,0.77,5,0,0,1,0,0,0,0,0,0,0,0,0,0,16,11,6,8,2,6,13,46.2,7,93,34,36.6,32,48,13,13,7,0,6,6,22,16,0,555,67,234,270,80,10,521,1,2,50,1,0,364,1534,918,29,8,0,10,4,436,413,94.7,13,0,11,12,0,8,0,49,14,7,66.7
"119","Darko Lazovic",1144000,29,"D","Serbia","hellas-verona",32,27,2503,27.8,3,6,3,0,0,3,0,0.11,0.22,0.32,0.11,0.32,32,11,34.4,1.15,0.4,0.09,0.27,17.3,2,1015,1393,72.9,17275,7042,502,579,86.7,400,562,71.2,93,188,49.5,4.1,36,66,57,16,152,65,2.34,53,8,2,1,1,0,9,0.32,9,0,0,0,0,0,28,21,8,16,4,13,40,32.5,27,209,68,32.5,60,88,61,39,9,0,30,20,48,37,0,1614,60,300,721,683,79,1369,18,36,50,20,5,911,4488,2875,148,47,18,29,29,1176,1001,85.1,92,0,10,3,10,96,0,228,26,26,50
"120","David Ospina",2496000,31,"GK","Colombia","napoli",16,16,1440,16,0,1,0,0,0,2,0,0,0.06,0.06,0,0.06,0,0,0,0,0,0,0,0,0,442,539,82,11739,6962,109,109,100,179,183,97.8,154,245,62.9,0.1,2,4,0,0,0,5,0.31,4,1,0,0,0,0,1,0.06,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567,500,566,5,0,0,481,1,1,100,1,0,342,1580,902,0,0,0,0,0,341,340,99.7,0,0,1,4,0,0,0,73,0,0,NA
"121","Davide Biraschi",1300000,26,"D","Italy","genoa-cfc",13,11,915,10.2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0.2,0,0,0,23.4,0,410,524,78.2,8020,2793,135,154,87.7,221,260,85,47,93,50.5,0.1,1,33,5,1,38,3,0.3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,17,9,12,4,1,3,11,27.3,8,169,45,26.6,98,58,13,18,6,0,12,16,33,28,0,624,46,259,327,69,4,561,3,9,33.3,3,0,400,1624,926,26,4,1,9,7,399,391,98,11,0,16,8,0,8,0,79,12,11,52.2
"122","Davide Calabria",3484000,23,"D","Italy","ac-milan",32,30,2647,29.4,2,1,2,0,0,7,0,0.07,0.03,0.1,0.07,0.1,24,7,29.2,0.82,0.24,0.08,0.29,21.3,0,1396,1785,78.2,26433,10745,583,640,91.1,594,725,81.9,189,353,53.5,1.8,20,152,37,13,176,47,1.6,40,4,1,1,1,0,5,0.17,3,1,0,0,1,0,93,50,59,26,8,43,91,47.3,48,523,173,33.1,249,215,59,65,7,0,58,27,120,83,1,2118,122,705,1107,447,37,1878,17,37,45.9,17,3,1282,6548,3949,152,48,5,20,15,1372,1283,93.5,61,0,31,36,3,53,1,299,21,34,38.2
"123","Davide Faraoni",936000,28,"D","Italy","hellas-verona",34,33,2891,32.1,4,7,4,0,0,8,0,0.12,0.22,0.34,0.12,0.34,36,9,25,1.12,0.28,0.11,0.44,12.8,0,1076,1492,72.1,21123,9090,410,495,82.8,491,642,76.5,160,296,54.1,3.8,23,99,37,8,147,42,1.31,33,1,4,1,3,0,9,0.28,7,1,1,0,0,0,71,37,44,20,7,29,69,42,40,393,103,26.2,180,134,79,78,17,0,61,56,127,93,1,1898,149,582,860,525,75,1632,23,59,39,27,1,1015,3866,1838,85,22,5,26,16,1199,1018,84.9,66,0,47,38,10,50,0,282,53,37,58.9
"124","Davide Ghislandi",33176,19,"M","Italy","atalanta",1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,100,56,22,0,0,0,3,3,100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,1,2,0,4,0,0,0,0,0,3,1,0,0,0,0,0,0,3,3,100,0,0,0,0,0,0,0,0,0,1,0
"125","Davide Santon",2652000,29,"D","Italy","as-roma",10,7,586,6.5,0,1,0,0,0,3,0,0,0.15,0.15,0,0.15,5,0,0,0.77,0,0,0,14.6,0,256,295,86.8,4739,1231,89,94,94.7,144,156,92.3,19,37,51.4,0.8,5,7,7,3,15,8,1.23,7,1,0,0,0,0,1,0.15,0,1,0,0,0,0,8,4,4,3,1,5,10,50,5,81,18,22.2,32,41,8,15,1,0,14,6,14,11,0,357,14,102,163,119,14,309,6,8,75,7,0,226,1551,822,43,11,4,5,2,239,224,93.7,8,0,11,3,1,16,0,36,4,3,57.1
"126","Davide Zappacosta",3588000,28,"D","Italy","genoa-cfc",25,23,2045,22.7,4,2,4,0,0,3,0,0.18,0.09,0.26,0.18,0.26,43,13,30.2,1.89,0.57,0.09,0.31,20,0,876,1093,80.1,14391,4499,459,507,90.5,341,415,82.2,63,119,52.9,1.2,12,23,20,10,52,43,1.89,25,2,7,7,1,1,6,0.26,2,0,1,3,0,0,35,19,18,12,5,14,27,51.9,13,367,87,23.7,140,143,84,23,1,0,22,16,51,44,0,1368,60,345,578,563,75,1154,30,73,41.1,31,4,911,5575,3252,153,40,28,33,36,1021,865,84.7,80,0,23,19,8,67,0,153,12,17,41.4
"127","Dejan Kulusevski",4316000,20,"M","Sweden","juventus",35,19,1923,21.4,4,3,4,0,0,7,0,0.19,0.14,0.33,0.19,0.33,34,7,20.6,1.59,0.33,0.12,0.57,15,0,612,785,78,9667,2557,320,380,84.2,217,269,80.7,50,77,64.9,6.4,52,35,37,11,73,94,4.4,72,5,6,7,2,2,6,0.28,5,0,1,0,0,0,33,25,10,13,10,12,38,31.6,26,441,116,26.3,111,190,140,28,0,0,28,12,45,1,0,1047,7,126,450,564,143,1024,35,64,54.7,36,2,831,5625,3586,176,52,42,45,59,1048,792,75.6,167,0,41,29,5,45,0,141,12,38,24
"128","Denis Dragus",384800,21,"ST","Romania","crotone",9,1,177,2,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,2.03,0,0,0,25.5,0,53,71,74.6,762,208,29,38,76.3,16,20,80,4,7,57.1,0,0,4,4,0,6,2,1.02,2,0,0,0,0,0,1,0.51,1,0,0,0,0,0,3,3,0,0,3,0,5,0,5,47,13,27.7,9,19,19,4,0,0,4,1,4,0,0,107,0,8,51,57,4,106,6,8,75,7,1,83,401,156,7,5,0,12,8,114,82,71.9,21,0,4,4,2,3,0,14,1,3,25
"129","Denis Vavro",1404000,23,"D","Slovakia","lazio",1,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,100,320,84,5,5,100,12,12,100,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,2,50,3,1,0,0,0,0,0,0,0,3,0,22,5,12,11,0,0,22,0,0,0,0,0,13,93,49,2,0,0,0,0,13,13,100,0,0,0,0,0,0,0,4,0,1,0
"130","Dennis Man",1612000,21,"ST","Romania","parma-calcio-1913",14,8,699,7.8,2,1,2,0,0,1,0,0.26,0.13,0.39,0.26,0.39,19,6,31.6,2.45,0.77,0.11,0.33,15,0,220,261,84.3,3595,999,119,135,88.1,78,94,83,19,23,82.6,0.3,4,20,9,3,28,16,2.06,12,0,3,0,1,0,4,0.52,3,0,1,0,0,0,11,4,6,4,1,6,24,25,18,114,23,20.2,27,55,32,7,0,0,7,6,17,5,0,348,6,53,170,159,32,346,13,17,76.5,13,2,248,1584,852,40,16,4,17,14,336,259,77.1,56,0,6,7,0,8,0,55,9,9,50
"131","Diego Demme",4316000,28,"M","Germany","napoli",24,20,1590,17.7,2,3,2,0,0,6,0,0.11,0.17,0.28,0.11,0.28,14,5,35.7,0.79,0.28,0.14,0.4,15.5,0,1118,1251,89.4,20433,4261,489,515,95,468,513,91.2,138,178,77.5,1.6,18,113,14,2,68,36,2.04,31,0,1,0,1,3,3,0.17,3,0,0,0,0,0,62,37,24,29,9,18,63,28.6,45,427,125,29.3,134,215,78,16,1,0,15,17,79,23,0,1419,55,326,888,283,24,1396,4,7,57.1,4,0,1024,4591,2131,102,33,3,8,19,1155,1089,94.3,28,0,33,28,1,8,0,169,7,16,30.4
"132","Diego Farias",1300000,30,"ST","Brazil","spezia-calcio",29,17,1514,16.8,4,2,4,0,0,5,0,0.24,0.12,0.36,0.24,0.36,32,10,31.3,1.9,0.59,0.13,0.4,16.1,2,537,660,81.4,10126,2026,233,273,85.3,231,272,84.9,67,89,75.3,3,31,29,21,4,62,52,3.09,41,0,3,4,2,2,3,0.18,1,0,0,2,0,0,12,8,5,2,5,3,19,15.8,16,199,47,23.6,45,86,68,17,0,0,17,13,25,3,0,799,6,88,369,391,81,786,24,33,72.7,27,0,617,3218,1687,104,21,28,27,12,837,659,78.7,106,0,18,16,2,25,0,71,8,9,47.1
"133","Diego Godin",5200000,34,"D","Uruguay","cagliari",28,28,2508,27.9,1,0,1,0,0,3,0,0.04,0,0.04,0.04,0.04,11,4,36.4,0.39,0.14,0.09,0.25,9.2,0,1285,1499,85.7,29479,10769,322,356,90.4,674,732,92.1,281,390,72.1,0.5,7,81,3,1,67,20,0.72,19,0,0,0,1,0,2,0.07,2,0,0,0,0,0,62,33,48,14,0,21,43,48.8,22,276,103,37.3,179,90,7,51,21,0,30,44,106,184,1,1844,302,1031,867,76,26,1756,14,14,100,14,0,1084,6578,3906,95,21,1,4,6,1165,1126,96.7,10,0,31,28,2,6,0,265,83,40,67.5
"134","Diogo Dalot",1768000,21,"D","Portugal","ac-milan",21,10,1090,12.1,1,1,1,0,0,5,0,0.08,0.08,0.17,0.08,0.17,10,5,50,0.83,0.41,0.1,0.2,20.4,0,463,611,75.8,9706,3575,171,199,85.9,206,261,78.9,82,130,63.1,1.2,9,37,13,8,42,18,1.49,14,0,2,1,0,1,3,0.25,2,0,0,0,0,1,37,17,26,9,2,23,37,62.2,14,180,38,21.1,98,61,21,26,5,0,21,18,55,54,0,764,56,251,369,185,19,659,9,13,69.2,10,0,418,2366,1395,56,20,9,12,3,450,410,91.1,18,0,25,4,2,34,0,97,22,9,71
"135","Djavan Anderson",436800,24,"D","Holland","lazio",3,1,72,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,33,72.7,299,70,17,19,89.5,6,9,66.7,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10,1,10,1,7,2,2,0,0,2,0,0,0,0,38,1,6,18,18,0,31,0,1,0,0,0,26,168,78,6,1,0,1,1,25,20,80,1,0,1,1,0,1,0,10,1,0,100
"136","Domenico Berardi",3172000,25,"ST","Italy","u.s.-sassuolo",30,28,2475,27.5,17,7,10,7,8,4,0,0.62,0.25,0.87,0.36,0.62,102,30,29.4,3.71,1.09,0.1,0.33,20.9,10,988,1297,76.2,19045,5315,413,485,85.2,404,484,83.5,149,262,56.9,5.2,57,63,97,21,164,129,4.69,85,14,8,10,7,5,17,0.62,10,2,0,3,1,1,39,23,17,8,14,14,55,25.5,41,430,138,32.1,131,170,129,37,2,0,35,35,74,39,0,1684,43,205,662,936,125,1580,30,57,52.6,30,7,1228,7310,4061,223,58,33,47,42,1483,1241,83.7,200,0,43,59,3,64,0,173,11,30,26.8
"137","Domenico Criscito",2132000,33,"D","Italy","genoa-cfc",23,20,1726,19.2,1,0,0,1,1,6,0,0.05,0,0.05,0,0,5,1,20,0.26,0.05,0,0,28,0,857,1052,81.5,18219,6711,277,309,89.6,434,487,89.1,140,241,58.1,0.4,6,75,9,1,80,14,0.73,13,1,0,0,0,0,0,0,0,0,0,0,0,0,43,27,31,9,3,10,28,35.7,18,238,71,29.8,131,94,13,27,14,0,13,35,78,77,1,1248,142,515,675,146,7,1170,4,9,44.4,5,0,750,4091,2650,91,28,0,6,6,800,783,97.9,4,0,23,26,0,18,0,191,22,28,44
"138","Dries Mertens",7592000,33,"ST","Belgium","napoli",29,18,1459,16.2,9,8,9,0,0,2,0,0.56,0.49,1.05,0.56,1.05,55,20,36.4,3.39,1.23,0.16,0.45,17.5,6,367,498,73.7,6287,1777,186,217,85.7,134,171,78.4,38,76,50,3.7,40,29,19,5,56,64,3.95,53,3,2,2,1,3,10,0.62,8,0,0,0,1,1,18,15,5,8,5,5,23,21.7,18,342,87,25.4,24,128,190,9,2,0,7,9,27,5,0,638,9,49,243,371,91,571,13,25,52,14,1,392,1682,966,65,14,8,14,11,649,448,69,129,0,16,9,5,32,0,75,0,12,0
"139","Dusan Vlahovic",1456000,20,"ST","Serbia","acf-fiorentina",37,34,2923,32.5,21,3,15,6,6,1,0,0.65,0.09,0.74,0.46,0.55,84,33,39.3,2.59,1.02,0.18,0.45,14,1,422,619,68.2,6416,710,252,330,76.4,119,189,63,32,49,65.3,2.8,17,14,10,1,21,49,1.51,30,0,6,3,8,2,7,0.22,4,0,0,0,3,0,9,5,4,2,3,4,14,28.6,10,421,95,22.6,31,185,205,19,7,0,12,12,21,13,0,1077,15,73,513,566,157,1041,36,68,52.9,38,0,717,2949,1352,69,30,15,95,100,1657,835,50.4,268,0,53,69,26,15,0,115,114,154,42.5
"140","Duvan Zapata",3172000,29,"ST","Colombia","atalanta",37,29,2379,26.4,15,9,14,1,1,0,0,0.57,0.34,0.91,0.53,0.87,98,38,38.8,3.71,1.44,0.14,0.37,13.1,0,624,814,76.7,8931,1142,381,456,83.6,192,239,80.3,26,49,53.1,6.5,44,21,25,6,34,99,3.75,76,0,6,10,7,0,16,0.61,14,0,0,0,2,0,8,6,3,3,2,2,9,22.2,7,233,65,27.9,17,72,144,23,6,0,17,10,18,18,0,1276,23,61,449,837,274,1225,40,91,44,47,2,990,4715,2414,149,36,54,108,93,1670,1043,62.5,404,0,29,49,21,45,0,97,40,78,33.9
"141","Ebrima Colley",676000,20,"ST","The Gambia","hellas-verona",23,4,734,8.2,1,0,1,0,0,1,0,0.12,0,0.12,0.12,0.12,17,7,41.2,2.08,0.86,0.06,0.14,14.1,0,196,268,73.1,2928,562,118,142,83.1,63,86,73.3,9,16,56.3,0.7,6,11,8,1,16,12,1.47,11,0,0,0,1,0,0,0,0,0,0,0,0,0,8,5,0,8,0,4,11,36.4,7,131,39,29.8,27,52,52,9,0,0,9,2,10,1,0,395,3,34,190,215,33,391,16,25,64,17,2,309,1868,966,50,27,5,27,27,450,301,66.9,74,0,13,17,7,10,0,59,4,32,11.1
"142","Eddie Salcedo",275600,18,"ST","Italy","hellas-verona",21,7,755,8.4,2,0,2,0,0,3,0,0.24,0,0.24,0.24,0.24,21,10,47.6,2.5,1.19,0.1,0.2,14.2,0,190,273,69.6,2670,919,113,149,75.8,54,75,72,10,19,52.6,0.5,6,14,9,2,26,13,1.55,10,0,1,0,2,0,2,0.24,1,0,0,0,1,0,4,2,2,1,1,2,2,100,0,98,36,36.7,15,44,39,11,1,0,10,3,7,9,0,380,6,41,175,185,37,367,10,17,58.8,12,0,244,1095,603,32,13,6,17,21,468,286,61.1,51,0,14,15,3,11,0,49,31,64,32.6
"143","Edin Dzeko",12688000,34,"ST","Bosnia & Herzegovina","as-roma",27,20,1824,20.3,7,3,7,0,1,2,0,0.35,0.15,0.49,0.35,0.49,70,24,34.3,3.45,1.18,0.1,0.29,12.2,0,342,511,66.9,5827,1220,189,262,72.1,93,135,68.9,46,64,71.9,2.5,27,21,16,0,41,63,3.11,43,0,5,7,6,2,12,0.59,7,0,2,1,1,1,7,7,2,2,3,3,11,27.3,8,190,55,28.9,7,83,100,15,5,0,10,4,11,11,0,771,19,38,360,420,140,729,25,52,48.1,28,2,471,2350,1288,78,25,20,61,42,1013,607,59.9,201,0,26,37,10,17,0,81,92,54,63
"144","Edoardo Goldaniga",936000,26,"D","Italy","genoa-cfc",25,19,1857,20.6,0,1,0,0,0,8,0,0,0.05,0.05,0,0.05,7,0,0,0.34,0,0,0,12.8,0,641,878,73,12978,5572,246,274,89.8,290,380,76.3,99,198,50,1,7,56,12,7,60,12,0.58,12,0,0,0,0,0,2,0.1,2,0,0,0,0,0,34,21,24,9,1,12,23,52.2,11,209,66,31.6,115,81,13,24,7,0,17,29,63,92,2,1077,114,493,500,155,17,976,5,10,50,6,1,597,3360,1710,58,20,1,11,6,706,648,91.8,21,0,30,24,1,25,0,137,32,33,49.2
"145","Edoardo Vergani",43108,19,"ST","Italy","bologna-fc-1909",1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,100,29,5,1,1,100,1,1,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,75,0,1,3,0,0,0,0,0,0,0,0,3,0,0,2,1,0,3,0,0,0,0,0,3,1,0,0,0,0,1,0,3,3,100,1,0,0,0,0,0,0,0,0,0,NA
"146","Eduardo Henrique",884000,25,"M","Brazil","crotone",18,8,924,10.3,1,0,1,0,0,4,0,0.1,0,0.1,0.1,0.1,8,1,12.5,0.78,0.1,0.13,1,17.9,0,327,396,82.6,5422,1587,163,181,90.1,133,157,84.7,24,37,64.9,0.1,3,35,4,0,28,12,1.17,9,0,1,1,0,1,0,0,0,0,0,0,0,0,7,2,3,3,1,2,11,18.2,9,142,32,22.5,44,64,34,13,2,0,11,10,17,10,0,486,15,106,302,109,12,480,10,14,71.4,11,0,339,1775,886,33,8,1,13,14,415,349,84.1,23,0,18,14,1,1,0,83,12,18,40
"147","Eldor Shomurodov",1924000,25,"ST","Uzbekistan","genoa-cfc",31,16,1677,18.6,8,1,8,0,0,1,0,0.43,0.05,0.48,0.43,0.48,38,18,47.4,2.04,0.97,0.21,0.44,14.6,0,342,483,70.8,4738,866,214,270,79.3,93,133,69.9,14,27,51.9,2,20,13,10,3,25,45,2.42,34,0,3,4,3,1,6,0.32,4,0,1,1,0,0,29,17,8,13,8,4,19,21.1,15,390,109,27.9,46,191,153,19,2,0,17,7,36,13,0,735,15,76,358,350,81,723,17,41,41.5,20,1,456,2095,1116,45,20,9,67,36,1061,542,51.1,161,0,39,22,11,14,0,94,60,112,34.9
"148","Elio Capradossi",624000,24,"D","Italy","spezia-calcio",1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5,0,34,41,82.9,643,86,8,9,88.9,22,24,91.7,3,7,42.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,0,0,0,0,0,17,3,17.6,12,4,1,0,0,0,0,4,7,8,0,58,18,43,16,2,2,55,0,0,0,0,0,25,139,57,0,0,0,1,0,36,35,97.2,1,0,1,0,0,0,0,3,1,2,33.3
"149","Eljif Elmas",2184000,20,"M","North Macedonia","napoli",33,3,740,8.2,2,1,2,0,0,3,0,0.24,0.12,0.36,0.24,0.36,13,6,46.2,1.58,0.73,0.15,0.33,16.5,0,325,359,90.5,5181,666,183,194,94.3,120,132,90.9,21,26,80.8,0.7,10,12,4,1,11,21,2.55,16,0,3,1,1,0,5,0.61,1,0,3,1,0,0,15,9,5,6,4,7,17,41.2,10,140,38,27.1,31,66,43,13,1,0,12,5,20,4,0,449,8,65,245,169,28,442,11,17,64.7,11,1,329,1642,831,43,18,7,10,13,442,351,79.4,37,0,10,8,1,4,0,48,1,7,12.5
"150","Elseid Hysaj",2808000,26,"D","Albania","napoli",24,20,1768,19.6,0,2,0,0,0,2,0,0,0.1,0.1,0,0.1,8,0,0,0.41,0,0,0,25,0,1045,1231,84.9,17548,6057,545,593,91.9,366,417,87.8,111,169,65.7,1.6,14,71,11,0,84,30,1.53,28,0,2,0,0,0,4,0.2,4,0,0,0,0,0,30,18,20,9,1,14,36,38.9,22,232,65,28,108,88,36,35,4,0,31,35,65,51,1,1417,82,461,794,264,16,1251,17,27,63,19,1,898,4799,2806,100,35,5,14,11,973,922,94.8,17,0,16,20,0,9,0,156,18,18,50
"151","Emanuel Vignato",624000,19,"ST","Italy","bologna-fc-1909",31,11,1203,13.4,1,4,1,0,0,4,0,0.07,0.3,0.37,0.07,0.37,23,8,34.8,1.72,0.6,0.04,0.13,19.5,1,531,708,75,9343,3245,254,305,83.3,204,259,78.8,63,111,56.8,3.3,28,51,21,5,69,47,3.52,33,10,1,2,1,0,6,0.45,5,1,0,0,0,0,19,11,10,6,3,4,19,21.1,15,258,59,22.9,59,129,70,8,1,0,7,12,31,11,0,840,22,142,393,364,36,777,23,37,62.2,24,0,619,3741,1964,92,32,14,13,18,728,599,82.3,48,0,13,12,2,36,0,112,3,18,14.3
"152","Emil Audero",1456000,23,"GK","Italy","u.c.-sampdoria",37,37,3330,37,0,1,0,0,0,0,0,0,0.03,0.03,0,0.03,0,0,0,0,0,0,0,0,0,874,1256,69.6,28376,16755,98,100,98,369,372,99.2,403,780,51.7,0.4,1,10,0,0,0,5,0.14,3,2,0,0,0,0,1,0.03,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,2,33.3,6,0,0,0,0,0,0,0,0,0,0,1340,1208,1337,3,0,0,966,0,0,0,0,0,623,3144,1609,0,0,0,0,0,588,587,99.8,0,0,0,6,0,0,0,182,0,0,NA
"153","Emmanuel Gyasi",223600,26,"ST","Ghana","spezia-calcio",37,32,2851,31.7,4,6,4,0,0,4,0,0.13,0.19,0.32,0.13,0.32,30,16,53.3,0.95,0.51,0.13,0.25,11.7,0,788,946,83.3,11137,1899,486,539,90.2,207,264,78.4,54,73,74,4.2,28,22,29,6,59,59,1.86,49,0,5,3,1,1,9,0.28,8,0,1,0,0,0,32,20,15,11,6,8,21,38.1,13,405,124,30.6,91,169,145,20,3,0,17,23,55,6,0,1244,22,141,597,606,114,1235,37,52,71.2,37,5,997,5184,2342,130,34,37,74,51,1545,975,63.1,197,0,65,51,28,43,0,156,27,62,30.3
"154","Emmanuel Riviere",884000,30,"ST","Martinique","crotone",21,7,640,7.1,1,1,1,0,0,2,0,0.14,0.14,0.28,0.14,0.28,11,3,27.3,1.55,0.42,0.09,0.33,14.9,0,113,148,76.4,1519,241,72,86,83.7,32,45,71.1,3,4,75,0.6,5,5,1,0,6,11,1.55,8,0,0,1,1,1,3,0.42,2,0,0,1,0,0,4,3,2,2,0,0,5,0,5,100,21,21,15,50,35,6,2,0,4,4,8,0,0,225,2,16,139,81,22,221,2,6,33.3,2,0,156,573,242,9,6,1,25,8,329,179,54.4,58,0,10,17,2,1,0,21,11,28,28.2
