"","Yearly.Salary","Player.Name","Position","Nationality","team.y","Age","X90s","goal.90","PKatt","CrdY","CrdR","G.PK","SoT.","Sh.90","SoT.90","G.Sh","Dist","FK","total.completed","X.total..completed.","short.","X.medium","long..","SCA90","PassDead","Drib","Sh.y","Fld","Def","GCA","GCA90","TklW","Att.3rd.x","Past","Press.att","Pass","Err","Def.Pen","X.Pl","Megs","CPA","Mis","X2CrdY","Off","Crs","Won","Lost","Won.","PK"
"253",7592000,"Javier Pastore","M","Argentina","as-roma",31,0.9,0,0,0,"No",0,0,0,0,0,0,0,52,85.2,68.4,92.3,93.8,1.90787605617464,0,0,0,"Equal and under",0,1,1.1,1,0,1,5,0,0,0,2,0,0,2,0,0,0,2,1,66.7,"No"
"254",421200,"Jayden Braaf","ST","Holland","udinese",17,1.3,1,0,0,"No",0.78,100,1.55,1.55,0.5,10.1,0,23,74.2,84.6,72.7,100,2.33,0,1,0,"Equal and under",0,1,0.78,0,0,1,8,2,0,1,4,1,0,4,0,0,1,0,5,0,"No"
"255",421200,"Jean-Victor Makengo","M","France","udinese",22,5.8,0,0,1,"No",0,0,0.69,0,0,24.4,0,165,80.5,86.9,87.3,65,0.86,0,0,0,"Equal and under",0,1,0.17,7,2,12,17,4,0,10,6,0,3,5,0,0,2,8,0,100,"No"
"256",1404000,"Jens Petter Hauge","ST","Norway","ac-milan",20,5.9,2,0,0,"No",0.34,42.9,1.18,0.51,0.29,14.4,0,162,81.4,89.6,83.8,61.5,3.55,0,4,0,"Equal and under",0,4,0.68,4,1,4,33,9,0,5,15,0,2,10,0,1,2,3,14,17.6,"No"
"257",832000,"Jens Stryger Larsen","D","Denmark","udinese",29,29.3,2,0,0,"No",0.07,45.8,0.82,0.38,0.08,17.5,0,1056,78.6,90.3,80.5,47.7,1.02,0,3,1,"Equal and under",0,2,0.07,15,2,19,53,45,2,110,17,0,7,20,0,4,53,22,38,36.7,"No"
"258",676000,"Jerdy Schouten","M","Holland","bologna-fc-1909",23,27.9,1,0,8,"Yes",0.04,44.4,0.32,0.14,0.11,25.8,0,1204,86.7,86.2,89.8,84.1,1.65,1,2,0,"Equal and under",1,1,0.04,40,1,21,59,37,2,95,43,0,3,19,0,1,7,42,37,53.2,"No"
"259",832000,"Jeremie Boga","ST","Ivory Coast","u.s.-sassuolo",23,19.8,4,0,0,"No",0.2,45.5,1.66,0.76,0.12,15.4,0,686,88.5,90.9,91.4,83.3,2.17,2,10,1,"Equal and under",0,7,0.35,13,7,12,101,17,0,23,91,5,24,45,0,9,20,6,10,37.5,"No"
"260",988000,"Jeremy Toljan","D","Germany","u.s.-sassuolo",25,16.6,0,0,2,"No",0,16.7,0.36,0.06,0,18.6,0,788,88.7,93.3,90.1,70.9,1.45,0,1,1,"Equal and under",0,2,0.12,16,2,21,47,23,0,71,8,0,5,16,0,4,36,4,15,21.1,"No"
"262",369200,"Jerome Onguene","D","Cameroon","genoa-cfc",22,2,0,0,0,"No",0,0,0,0,0,0,0,84,84,91.2,86,69.2,0,0,0,0,"Equal and under",0,0,0,1,0,4,1,3,0,15,0,0,0,1,0,0,0,4,5,44.4,"No"
"263",3744000,"Jesus","D","Brazil","as-roma",29,1.7,0,0,0,"No",0,0,0,0,0,0,0,120,92.3,91.2,98.6,80,0,0,0,0,"Equal and under",0,0,0,2,0,1,3,3,0,17,1,0,0,0,0,0,0,3,3,50,"No"
